"ORDEN","P2_C","P3_C","P4_C","P5_C","P6_C","P7_C","P8_C","P9_C","P10_C","F_EXP"
"01087","01","01","01","25175","02","3",NA,"1",0,91.9727768688094
"01088","01","01","01","11001","01","3",NA,"1",0,30.7286089103887
"01088","02","01","01","11001","01","3",NA,"1",0,30.7286089103887
"01089","01","01","03","11001","01","3",NA,"2",50000,334.065008696797
"01096","01","02","01","25175","01","3",NA,"1",0,19.5680572200655
"01097","01","01","01","11001","01","3",NA,"4",0,20.957729833753
"01100","01","01","01","11001","53","3",NA,"2",0,48.2917930425611
"01105","01","01","01","11001","01","3",NA,"1",0,129.601554430958
"01108","01","02","01","25175","02","3",NA,"1",0,369.275011639107
"01110","01","02","01","11001","03","3",NA,"1",0,59.5221994749435
"01111","01","01","01","25175","01","1","77","1",0,47.0758874373725
"01119","01","01","01","11001","03","3",NA,"1",0,86.767502588713
"01121","01","01","01","11001","01","3",NA,"1",0,106.527674384735
"01123","01","01","01","11001","01","3",NA,"1",0,92.6076899590931
"01124","01","01","01","11001","53","3",NA,"1",0,324.036215905427
"01125","01","04","01","25175","01","2",NA,"1",0,180.962340069909
"01126","01","01","01","11001","01","3",NA,"1",0,200.087593168193
"01133","01","04","01","11001","01","2",NA,"1",0,112.638350766397
"01138","01","04","01","25899","01","2",NA,"1",0,60.8018242925039
"01142","01","01","01","25175","02","3",NA,"1",0,294.661836268934
"01142","02","01","01","11001","03","3",NA,"1",0,294.661836268934
"01142","03","02","03","25377","01","3",NA,"1",0,294.661836268934
"01144","01","01","01","11001","02","3",NA,"2",0,54.2300597030093
"01147","01","01","01","25899","01","3",NA,"1",0,54.2300597030093
"01149","01","01","01","11001","01","3",NA,"1",0,13.2399559663939
"01154","01","04","01","11001","02","2",NA,"1",0,11.1352573179648
"01159","01","01","01","11001","01","3",NA,"1",0,11.1625949757794
"01169","01","02","01","25843","01","3",NA,"1",0,7.01049610051952
"01171","01","01","01","11001","02","3",NA,"1",0,31.3750184093281
"01181","01","01","01","11001","02","3",NA,"1",0,12.2750277013794
"01187","01","05","01","11001","01","3",NA,"1",0,397.071428571429
"01188","01","01","01","11001","01","3",NA,"1",0,9.10362007150676
"01188","02","01","01","11001","02","3",NA,"1",0,9.10362007150676
"01190","01","02","01","11001","02","3",NA,"1",0,27.6508973039982
"01192","01","01","01","11001","03","3",NA,"2",50000,16.3613102107861
"01199","01","01","01","25175","01","3",NA,"1",0,8.92894751450093
"01206","01","01","01","11001","02","3",NA,"2",15000,131.344007269774
"01208","01","01","01","11001","03","3",NA,"1",0,117.137871148555
"01212","01","01","01","11001","01","3",NA,"2",90000,117.13787125114
"01215","01","04","01","11001","01","2",NA,"1",0,151.381697453271
"01222","01","01","01","11001","01","3",NA,"1",0,118.472710352359
"01224","01","04","01","01001","03","2",NA,"2",20000,324.337780050226
"01228","01","02","02","25286","01","3",NA,"2",0,92.1088840314979
"01236","01","02","01","11001","02","3",NA,"3",50000,121.020972330352
"01239","01","02","02","11001","01","3",NA,"1",0,119.926542223283
"01258","01","01","01","25260","02","3",NA,"3",40000,545.875347175129
"01260","01","01","01","76001","77","3",NA,"1",0,94.1060383619629
"01262","01","01","01","25269","03","3",NA,"1",0,248.847548520624
"01263","01","01","01","11001","03","3",NA,"1",0,552.317147535518
"01263","02","02","01","11001","01","3",NA,"1",0,552.317147535518
"01265","01","04","01","11001","02","2",NA,"1",0,683.615019970864
"01266","01","01","01","11001","01","3",NA,"1",0,343.356718096414
"01269","01","01","01","76109","04","3",NA,"1",0,184.058361546993
"01270","01","04","01","25269","01","2",NA,"1",0,64.6791054351824
"01272","01","04","01","25269","01","2",NA,"1",0,198.190992859982
"01272","02","04","01","25269","02","2",NA,"1",0,198.190992859982
"01274","01","01","01","11001","01","3",NA,"2",60000,338.552634373282
"01274","02","01","01","25175","04","3",NA,"1",0,338.552634373282
"01275","01","01","01","11001","02","3",NA,"2",20000,216.025886501707
"01284","01","04","01","25175","01","2",NA,"1",0,93.7750070534149
"01291","01","01","01","11001","01","3",NA,"1",0,343.356718096414
"01293","01","01","01","76001","01","3",NA,"2",25000,407.743674991272
"01303","01","02","01","25377","01","3",NA,"1",0,381.246791290929
"01304","01","01","01","17380","01","3",NA,"1",0,962.940294490427
"01304","02","04","01","25269","01","2",NA,"1",0,962.940294490427
"01305","01","01","01","11001","01","1","77","1",0,327.322317761976
"01306","01","01","01","68001","01","3",NA,"1",0,318.877641595816
"01309","01","04","01","25899","01","2",NA,"1",0,107.751138695438
"01312","01","04","01","25875","01","2",NA,"1",0,471.340998439433
"01313","01","03","01","73001","50","3",NA,"1",0,381.246791290929
"01314","01","02","03","11001","01","3",NA,"1",0,318.877641595816
"01318","01","01","01","11001","03","3",NA,"1",0,107.3187712865
"01329","01","04","01","25269","02","2",NA,"1",0,400.182462396159
"01330","01","01","01","11001","02","3",NA,"1",0,119.37932723057
"01334","01","01","01","11001","01","3",NA,"1",0,7.12250920142947
"01342","01","04","01","01001","02","2",NA,"1",0,8.41670801585329
"01346","01","04","01","11001","01","2",NA,"1",0,30.9847341327069
"01351","01","01","01","25899","03","3",NA,"1",0,15.0785590782083
"01351","02","01","01","25754","01","3",NA,"1",0,15.0785590782083
"01359","01","01","01","11001","01","3",NA,"4",0,22.5425345570857
"01361","01","01","01","25175","01","3",NA,"1",0,41.3093825541667
"01361","02","05","01","25899","01","3",NA,"1",0,41.3093825541667
"01361","03","05","01","25899","02","3",NA,"3",45000,41.3093825541667
"01363","01","06","02","11001","01","1","10","3",175000,21.8216573572674
"01363","02","06","02","25473","01","1","10","3",175000,21.8216573572674
"01364","01","04","01","01001","02","2",NA,"1",0,46.9043348353261
"01376","01","01","01","11001","01","3",NA,"2",NA,19.8562146451146
"01376","02","01","01","11001","01","3",NA,"2",0,19.8562146451146
"01378","01","01","01","25175","01","3",NA,"1",0,34.7264620643128
"01381","01","02","02","25899","01","3",NA,"1",0,62.4497414429218
"01384","01","02","01","25269","01","3",NA,"1",0,8.81039691220399
"01388","01","01","03","25175","53","3",NA,"2",30000,17.424774649528
"01390","01","01","01","11001","01","3",NA,"1",0,273.959748265143
"01390","02","01","01","25175","03","3",NA,"1",0,273.959748265143
"01390","03","01","01","25175","04","3",NA,"1",0,273.959748265143
"01391","01","01","01","11001","01","3",NA,"1",0,6.63830112236194
"01397","01","04","01","11001","02","2",NA,"1",0,50.499469592952
"01400","01","04","01","11001","01","2",NA,"1",0,116.552882952024
"01404","01","04","01","11001","50","2",NA,"1",0,25.4604332516445
"01405","01","04","01","25126","77","2",NA,"1",0,24.586282659538
"01408","01","01","01","25175","02","3",NA,"1",0,15.1012195518163
"01414","01","01","01","11001","01","3",NA,"2",0,43.9679392962428
"01415","01","01","01","11001","02","3",NA,"1",0,22.9285076635323
"01420","01","01","01","11001","01","3",NA,"1",0,25.2524402030391
"01421","01","06","02","15759","02","3",NA,"2",240000,29.9785763366776
"01424","01","04","01","25175","01","2",NA,"1",0,30.4203555275951
"01425","01","01","01","11001","05","3",NA,"1",0,39.1881354064157
"01426","01","01","01","11001","01","1","03","1",0,83.2996494794322
"01430","01","01","01","11001","01","3",NA,"1",0,5.38902323661462
"01435","01","01","01","25743","01","3",NA,"2",50000,9.8478231428357
"01435","02","04","01","01001","01","2",NA,"1",0,9.8478231428357
"01440","01","01","01","11001","01","3",NA,"1",0,41.4837159527739
